Timestamp,Ticker,Price
2025-06-12 21:36:44.241,SPY,845.91
2025-06-12 21:36:44.755,SPY,827.93
2025-06-12 21:36:45.270,SPY,822.7
2025-06-12 21:36:45.814,SPY,811.93
2025-06-12 21:36:46.345,SPY,825.41
2025-06-12 21:36:46.861,SPY,833.83
2025-06-12 21:36:47.391,SPY,828.15
2025-06-12 21:36:47.914,SPY,847.06
2025-06-12 21:36:48.428,SPY,855.46
2025-06-12 21:36:48.961,SPY,852.73
2025-06-12 21:36:49.475,SPY,831.72
2025-06-12 22:18:42.550,SPY,502.51
2025-06-12 22:18:43.059,SPY,501.84
2025-06-12 22:18:43.586,SPY,505.13
2025-06-12 22:18:44.083,SPY,512.91
2025-06-12 22:18:44.596,SPY,511.74
2025-06-12 22:18:45.109,SPY,510.57
2025-06-12 22:18:45.607,SPY,518.72
2025-06-12 22:18:46.121,SPY,522.74
2025-06-12 22:18:46.649,SPY,520.32
2025-06-12 22:18:47.152,SPY,523.18
2025-06-12 22:18:47.669,SPY,520.79
2025-06-12 22:18:48.179,SPY,518.4
2025-06-12 22:18:48.690,SPY,519.68
2025-06-12 22:18:49.201,SPY,509.86
2025-06-12 22:18:49.713,SPY,501.17
2025-06-12 22:18:50.228,SPY,498.38
2025-06-12 22:18:50.754,SPY,493.38
2025-06-12 22:18:51.267,SPY,494.96
2025-06-12 22:18:51.800,SPY,490.51
2025-06-12 22:18:52.312,SPY,483.66
2025-06-12 22:18:52.813,SPY,490.83
2025-06-12 22:18:53.324,SPY,489.75
2025-06-12 22:18:53.834,SPY,490.11
2025-06-12 22:18:54.350,SPY,483.2
2025-06-12 22:18:54.875,SPY,480.6
2025-06-12 22:18:55.387,SPY,481.16
2025-06-12 22:18:55.901,SPY,475.68
2025-06-12 22:18:56.430,SPY,477.49
2025-06-12 22:18:56.958,SPY,474.65
2025-06-12 22:18:57.458,SPY,473.29
2025-06-12 22:18:57.971,SPY,470.47
2025-06-12 22:18:58.473,SPY,479.29
2025-06-12 22:18:58.965,SPY,479.25
2025-06-12 22:18:59.466,SPY,474.23
2025-06-12 22:18:59.949,SPY,478.17
2025-06-12 22:19:00.464,SPY,472.39
2025-06-12 22:19:01.008,SPY,473.4
2025-06-12 22:19:01.550,SPY,464.24
2025-06-12 22:19:02.047,SPY,458.14
2025-06-12 22:19:02.548,SPY,459.07
2025-06-12 22:19:03.067,SPY,462.5
2025-06-12 22:19:03.595,SPY,463.32
2025-06-12 22:19:04.129,SPY,462.81
2025-06-12 22:19:04.641,SPY,461.44
2025-06-12 22:19:05.170,SPY,454.69
2025-06-12 22:19:05.698,SPY,451.45
2025-06-12 22:19:06.209,SPY,449.4
2025-06-12 22:19:06.706,SPY,454.2
2025-06-12 22:19:07.219,SPY,455.79
2025-06-12 22:19:07.734,SPY,447.85
2025-06-12 22:19:08.265,SPY,449.33
2025-06-12 22:19:08.778,SPY,447.63
2025-06-12 22:19:09.292,SPY,444.63
2025-06-12 22:19:09.788,SPY,447.38
2025-06-12 22:19:10.317,SPY,452.04
2025-06-12 22:19:10.828,SPY,456.29
2025-06-12 22:19:11.325,SPY,452.5
2025-06-12 22:19:11.823,SPY,451.13
2025-06-12 22:19:12.352,SPY,452.65